firm,cik,phone,leads,title,money_raised
Bach's Office Hit Ltd Liability Co,0002093616,212-245-3455,"[{'name': 'N/A Drew & Dane Productions LLC', 'role': 'Promoter', 'cik': '0002093616'}, {'name': 'Drew Desky', 'role': 'Executive Officer', 'cik': '0002093616'}, {'name': 'Dane Levens', 'role': 'Executive Officer', 'cik': '0002093616'}]",Executive Officer,100000
"Continuum Holdings, Inc.",0002093639,8585831838,"[{'name': 'John Owens', 'role': 'Executive Officer', 'cik': '0002093639'}, {'name': 'David Rodman', 'role': 'Executive Officer', 'cik': '0002093639'}]",Executive Officer,100000
"PACT-CAZ Offshore Feeder, L.P.",0002093650,(646) 650-8024,"[{'name': 'N/A PACT Capital Partners GP, L.P.', 'role': 'Executive Officer', 'cik': '0002093650'}, {'name': 'Christian von Schimmelmann', 'role': 'Executive Officer', 'cik': '0002093650'}]",Executive Officer,0
"PACT-CAZ Co-Investment Fund, L.P.",0002093651,(646) 650-8024,"[{'name': 'N/A PACT Capital Partners GP, L.P.', 'role': 'Executive Officer', 'cik': '0002093651'}, {'name': 'Christian von Schimmelmann', 'role': 'Executive Officer', 'cik': '0002093651'}]",Executive Officer,0
"TRC Meadowlark Holdings, LLC",0002093665,2082302639,"[{'name': 'Russ Walker', 'role': 'Executive Officer', 'cik': '0002093665'}, {'name': 'Jared Walker', 'role': 'Executive Officer', 'cik': '0002093665'}]",Executive Officer,0
Perplexity Unlimited SPV3 Sep 2025 a Series of CGF2021 LLC,0002093672,(360) 946-0604,"[{'name': 'LLC Sydecar', 'role': 'Director', 'cik': '0002093672'}, {'name': 'Brett Sagan', 'role': 'Executive Officer', 'cik': '0002093672'}]",Executive Officer,1100000
SPVx016 a Series of Raido Capital Holdings X LLC,0002093673,(360) 946-0604,"[{'name': 'LLC Sydecar', 'role': 'Director', 'cik': '0002093673'}, {'name': 'Brett Sagan', 'role': 'Executive Officer', 'cik': '0002093673'}]",Executive Officer,9312500
"Bondly Pre-Seed Sep 2025, a Series of CGF2021 LLC",0002093674,(360) 946-0604,"[{'name': 'LLC Sydecar', 'role': 'Director', 'cik': '0002093674'}, {'name': 'Brett Sagan', 'role': 'Executive Officer', 'cik': '0002093674'}]",Executive Officer,84210
"Crescent Credit Solutions IXD (Senior Unlevered) Note Feeder, L.P.",0002093675,(310) 235-5900,"[{'name': 'N/A Crescent Credit Solutions IX Note Issuer, LLC', 'role': 'Promoter', 'cik': '0002093675'}, {'name': 'Mandy Brown', 'role': 'Executive Officer', 'cik': '0002093675'}, {'name': 'Tyrone Chang', 'role': 'Executive Officer', 'cik': '0002093675'}, {'name': 'Kimberly Grant', 'role': 'Executive Officer', 'cik': '0002093675'}, {'name': 'Joseph Kaufman', 'role': 'Executive Officer', 'cik': '0002093675'}, {'name': 'Elizabeth Ko', 'role': 'Executive Officer', 'cik': '0002093675'}, {'name': 'Yev Kuznetsov', 'role': 'Executive Officer', 'cik': '0002093675'}, {'name': 'Louis Lavoie', 'role': 'Executive Officer', 'cik': '0002093675'}, {'name': 'Albert Lee', 'role': 'Executive Officer', 'cik': '0002093675'}, {'name': 'Jonathan Marotta', 'role': 'Executive Officer', 'cik': '0002093675'}, {'name': 'Christopher Wang', 'role': 'Executive Officer', 'cik': '0002093675'}]",Executive Officer,0
NearField Atomics Inc.,0002093676,2065500728,"[{'name': 'John Butters', 'role': 'Executive Officer', 'cik': '0002093676'}, {'name': 'Lisa Butters', 'role': 'Executive Officer', 'cik': '0002093676'}]",Executive Officer,60000
Ironside Capital Fund III LLC,0002093679,5035306267,"[{'name': 'Christopher Crow', 'role': 'Executive Officer', 'cik': '0002093679'}, {'name': 'Dain Zaitz', 'role': 'Executive Officer', 'cik': '0002093679'}, {'name': 'N/A Ironside Capital Fund III GP, LLC', 'role': 'Promoter', 'cik': '0002093679'}]",Promoter,3200000
ICG Venue Co-Investment LLC,0002093680,5035306267,"[{'name': 'Christopher Crow', 'role': 'Executive Officer', 'cik': '0002093680'}, {'name': 'Dain Zaitz', 'role': 'Executive Officer', 'cik': '0002093680'}, {'name': 'N/A Ironside Capital Fund III GP, LLC', 'role': 'Promoter', 'cik': '0002093680'}]",Promoter,2925000
Oakleaf BTR RE,0002093699,9174500374,"[{'name': 'Mehul Patel', 'role': 'Director', 'cik': '0002093699'}, {'name': 'Ronak Pandya', 'role': 'Director', 'cik': '0002093699'}, {'name': 'Ramesh Suhagia', 'role': 'Director', 'cik': '0002093699'}]",Director,10000000
"VBS Investor, LLC",0002093700,205-815-6894,"[{'name': 'N/A VBS Investor Manager, LLC', 'role': 'Executive Officer', 'cik': '0002093700'}, {'name': 'David Grote', 'role': 'Executive Officer', 'cik': '0002093700'}, {'name': 'Justin Worthington', 'role': 'Executive Officer', 'cik': '0002093700'}]",Executive Officer,7162907
"Riva Acquisition Partners, LLC",0002093704,(917) 518-2000,"[{'name': 'Kris Haber', 'role': 'Director', 'cik': '0002093704'}]",Director,8135000
"Soma Capital AI Fund II, LP",0002093705,(650) 714-6220,"[{'name': 'N/A Soma Capital AI Fund II Partners LLC', 'role': 'Director', 'cik': '0002093705'}, {'name': 'N/A Soma Capital Management LLC', 'role': 'Promoter', 'cik': '0002093705'}, {'name': 'Aneel Ranadive', 'role': 'Director', 'cik': '0002093705'}]",Director,55000000
HBMHCW GLOBAL Ltd.,0002093709,1 (859) 046-5259,"[{'name': 'KEVIN WAUHN MILLER', 'role': 'Director', 'cik': '0002093709'}]",Director,0
RE MEADOW LANE LLC,0002093721,2025508859,"[{'name': 'n/a RE Meadow Lane Management LLC', 'role': 'Executive Officer', 'cik': '0002093721'}, {'name': 'ANDREW HINTON', 'role': 'Executive Officer', 'cik': '0002093721'}, {'name': 'YU DAI', 'role': 'Executive Officer', 'cik': '0002093721'}]",Executive Officer,4944907
EVIA Fund LLC,0002093748,941-253-6878,"[{'name': 'CHRIS BAIRD', 'role': 'Executive Officer', 'cik': '0002093748'}, {'name': 'TOM MIKOLAS', 'role': 'Executive Officer', 'cik': '0002093748'}]",Executive Officer,0
"Chestnut 166, LLC",0002093760,206-512-8400,"[{'name': 'ERIC THORSEN', 'role': 'Executive Officer', 'cik': '0002093760'}]",Executive Officer,650000
"DRC Co-Investment, LLC",0002093791,630-726-5898,"[{'name': 'Promus Equity Partners, LLC', 'role': 'Director', 'cik': '0002093791'}]",Director,13905000
"Theriva Biologics, Inc.",0000894158,301-417-4364,"[{'name': 'Steven Shallcross', 'role': 'Executive Officer', 'cik': '0000894158'}, {'name': 'Jeffrey Kraws', 'role': 'Director', 'cik': '0000894158'}, {'name': 'John Monahan', 'role': 'Director', 'cik': '0000894158'}, {'name': 'Jeffrey Wolf', 'role': 'Director', 'cik': '0000894158'}]",Director,13109494
"DECATUR BANCSHARES, INC.",0001052399,731-852-2821,"[{'name': 'James England', 'role': 'Executive Officer', 'cik': '0001052399'}, {'name': 'Dustin Boroughs', 'role': 'Executive Officer', 'cik': '0001052399'}, {'name': 'Donald Moore', 'role': 'Executive Officer', 'cik': '0001052399'}, {'name': 'Kirk Goehring', 'role': 'Executive Officer', 'cik': '0001052399'}, {'name': 'Vicki Ivey', 'role': 'Director', 'cik': '0001052399'}, {'name': 'James England', 'role': 'Director', 'cik': '0001052399'}, {'name': 'Gerald Buchanan', 'role': 'Director', 'cik': '0001052399'}, {'name': 'Paul England', 'role': 'Director', 'cik': '0001052399'}, {'name': 'Olis Quinn, Jr.', 'role': 'Director', 'cik': '0001052399'}, {'name': 'David Roberts', 'role': 'Director', 'cik': '0001052399'}, {'name': 'Michael Edwards', 'role': 'Director', 'cik': '0001052399'}]",Director,10000000
"Amwins Holding Company, LLC",0001177703,704-749-2700,"[{'name': 'Scott Purviance', 'role': 'Director', 'cik': '0001177703'}, {'name': 'Matthew Ebbel', 'role': 'Director', 'cik': '0001177703'}, {'name': 'Joseph Consolino', 'role': 'Director', 'cik': '0001177703'}, {'name': 'M. DeCarlo', 'role': 'Director', 'cik': '0001177703'}, {'name': 'David Morin', 'role': 'Director', 'cik': '0001177703'}, {'name': 'Marc Stad', 'role': 'Director', 'cik': '0001177703'}, {'name': 'C.N. Atkin', 'role': 'Director', 'cik': '0001177703'}, {'name': 'Valerie Brown', 'role': 'Director', 'cik': '0001177703'}, {'name': 'Ryan Clark', 'role': 'Director', 'cik': '0001177703'}, {'name': 'Benjamin Sloop', 'role': 'Director', 'cik': '0001177703'}]",Director,35265214
PCM Ai Opportunities Fund,0001760460,2128783702,"[{'name': 'Ted Wang', 'role': 'Director', 'cik': '0001760460'}, {'name': 'Hanchen Jin', 'role': 'Director', 'cik': '0001760460'}]",Director,1000000
"Ontic Technologies, Inc.",0001808654,512-572-7400,"[{'name': 'Lukas Quanstrom', 'role': 'Executive Officer', 'cik': '0001808654'}, {'name': 'John Heller', 'role': 'Director', 'cik': '0001808654'}, {'name': 'Robert Nye', 'role': 'Director', 'cik': '0001808654'}, {'name': 'Michael Dodd', 'role': 'Director', 'cik': '0001808654'}, {'name': 'Murali Swaminathan', 'role': 'Director', 'cik': '0001808654'}, {'name': 'Stephen Shepherd', 'role': 'Executive Officer', 'cik': '0001808654'}, {'name': 'Ryan Suneson', 'role': 'Executive Officer', 'cik': '0001808654'}]",Executive Officer,196430327
"LODAS Markets, Inc.",0001837491,913-375-5910,"[{'name': 'Brian King', 'role': 'Executive Officer', 'cik': '0001837491'}, {'name': 'John Fein', 'role': 'Director', 'cik': '0001837491'}, {'name': 'Steven Braun', 'role': 'Director', 'cik': '0001837491'}, {'name': 'Robert Green', 'role': 'Director', 'cik': '0001837491'}, {'name': 'Rodrigo Neri', 'role': 'Executive Officer', 'cik': '0001837491'}, {'name': 'Mandy Jordan', 'role': 'Executive Officer', 'cik': '0001837491'}, {'name': 'Kevin McCormack-Lane', 'role': 'Executive Officer', 'cik': '0001837491'}, {'name': 'Kyle Robey', 'role': 'Executive Officer', 'cik': '0001837491'}]",Executive Officer,3000000
"Core Nat Cat Fund, a segregated account of 1863 Fund Ltd",0001845068,441-295-8478,"[{'name': 'Brian Desmond', 'role': 'Director', 'cik': '0001845068'}, {'name': 'Wiliam Pollett', 'role': 'Director', 'cik': '0001845068'}, {'name': 'Bernard Bachmann', 'role': 'Director', 'cik': '0001845068'}]",Director,58000000
"Electric Avenue Software, Inc.",0001915835,(855) 787-2087,"[{'name': 'David Barton', 'role': 'Executive Officer', 'cik': '0001915835'}]",Executive Officer,523646
"FloxDev, Inc.",0001918961,510-593-5858,"[{'name': 'Ron Efroni Rotman', 'role': 'Executive Officer', 'cik': '0001918961'}, {'name': 'David Shainok', 'role': 'Director', 'cik': '0001918961'}, {'name': 'Pavel Livshiz', 'role': 'Director', 'cik': '0001918961'}, {'name': 'Aaron Jacobson', 'role': 'Director', 'cik': '0001918961'}, {'name': 'Todd Arfman', 'role': 'Director', 'cik': '0001918961'}, {'name': 'Michael Brantley', 'role': 'Director', 'cik': '0001918961'}, {'name': 'Ben Futoriansky', 'role': 'Executive Officer', 'cik': '0001918961'}]",Executive Officer,24887984
"Bracketology.tv, Inc.",0001926716,5106982462,"[{'name': 'Jonah Fialkow', 'role': 'Executive Officer', 'cik': '0001926716'}, {'name': 'David Pawlan', 'role': 'Executive Officer', 'cik': '0001926716'}, {'name': 'Marc Wasserman', 'role': 'Director', 'cik': '0001926716'}]",Director,100000
"Bracketology.tv, Inc.",0001926716,5106982462,"[{'name': 'Jonah Fialkow', 'role': 'Executive Officer', 'cik': '0001926716'}, {'name': 'David Pawlan', 'role': 'Executive Officer', 'cik': '0001926716'}, {'name': 'Marc Wasserman', 'role': 'Director', 'cik': '0001926716'}]",Director,387500
Flamingo Marine Inc.,0001935341,262-228-8901,"[{'name': 'BRIAN DAVIS', 'role': 'Executive Officer', 'cik': '0001935341'}, {'name': 'ERIC DAVIS', 'role': 'Executive Officer', 'cik': '0001935341'}]",Executive Officer,18776659
4th Street McAllen TX LLC,0001950393,480-470-1268,"[{'name': 'Richard Wilson', 'role': 'Executive Officer', 'cik': '0001950393'}]",Executive Officer,1200000
"Defy Photo Shield, LLC",0001983257,9179524205,"[{'name': 'SHANE HADE', 'role': 'Executive Officer', 'cik': '0001983257'}]",Executive Officer,0
"Alto Neuroscience, Inc.",0001999480,(650) 200-0412,"[{'name': 'Amit Etkin', 'role': 'Executive Officer', 'cik': '0001999480'}, {'name': 'Michael Hanley', 'role': 'Executive Officer', 'cik': '0001999480'}, {'name': 'Adam Savitz', 'role': 'Executive Officer', 'cik': '0001999480'}, {'name': 'Nicholas Smith', 'role': 'Executive Officer', 'cik': '0001999480'}, {'name': 'Gwill York', 'role': 'Director', 'cik': '0001999480'}, {'name': 'Christopher Cox', 'role': 'Director', 'cik': '0001999480'}, {'name': 'Andrew Dreyfus', 'role': 'Director', 'cik': '0001999480'}, {'name': 'Husseini Manji', 'role': 'Director', 'cik': '0001999480'}, {'name': 'Raymond Sanchez', 'role': 'Director', 'cik': '0001999480'}]",Director,49999533
"DoctorNow, Inc.",0002014786,425-270-8686,"[{'name': 'Asim Ranjha', 'role': 'Executive Officer', 'cik': '0002014786'}, {'name': 'Kashif Saeed', 'role': 'Executive Officer', 'cik': '0002014786'}, {'name': 'Robert Greenglass', 'role': 'Director', 'cik': '0002014786'}]",Director,1008055
"Agriculture Scout AI, Inc.",0002020273,415-870-0204,"[{'name': 'Kia Behnia', 'role': 'Executive Officer', 'cik': '0002020273'}, {'name': 'Mason Earles', 'role': 'Executive Officer', 'cik': '0002020273'}, {'name': 'David Schwab', 'role': 'Director', 'cik': '0002020273'}]",Director,644037
"Breakwall Energy Credit Partners Fund, L.P.",0002024316,516-363-2004,"[{'name': 'n/a BECP GP, L.P.', 'role': 'Executive Officer', 'cik': '0002024316'}, {'name': 'n/a Breakwall Investment Advisor LLC', 'role': 'Promoter', 'cik': '0002024316'}, {'name': 'Christopher Abbate', 'role': 'Executive Officer', 'cik': '0002024316'}, {'name': 'Jamie Brodsky', 'role': 'Executive Officer', 'cik': '0002024316'}, {'name': 'Daniel Flannery', 'role': 'Executive Officer', 'cik': '0002024316'}, {'name': 'Amy Springs', 'role': 'Executive Officer', 'cik': '0002024316'}]",Executive Officer,0
"Apex Tech Growth Partners I, LLC",0002035452,865-405-1101,"[{'name': 'Jonathan Simmons', 'role': 'Executive Officer', 'cik': '0002035452'}]",Executive Officer,0
PRIVATE AI INVESTMENTS II LLC,0002042721,866-926-2286,"[{'name': 'N/A ZANBATO CAPITAL LLC', 'role': 'Executive Officer', 'cik': '0002042721'}, {'name': 'N/A ZANBATO ADVISORS LLC', 'role': 'Executive Officer', 'cik': '0002042721'}, {'name': 'KNUT NICOLAI SAND', 'role': 'Executive Officer', 'cik': '0002042721'}, {'name': 'GREGORY WRIGHT', 'role': 'Executive Officer', 'cik': '0002042721'}]",Executive Officer,78865994
"Breakwall Energy Credit Partners Fund Co-Invest, L.P.",0002048920,516-363-2004,"[{'name': 'n/a BECP GP, L.P.', 'role': 'Executive Officer', 'cik': '0002048920'}, {'name': 'n/a Breakwall Investment Advisor LLC', 'role': 'Promoter', 'cik': '0002048920'}, {'name': 'Christopher Abbate', 'role': 'Executive Officer', 'cik': '0002048920'}, {'name': 'Jamie Brodsky', 'role': 'Executive Officer', 'cik': '0002048920'}, {'name': 'Daniel Flannery', 'role': 'Executive Officer', 'cik': '0002048920'}, {'name': 'Amy Springs', 'role': 'Executive Officer', 'cik': '0002048920'}]",Executive Officer,0
Northern Smilodon Energy Inc.,0002050232,(403) 909-2399,"[{'name': 'William Kanters', 'role': 'Executive Officer', 'cik': '0002050232'}, {'name': 'Victor Burstall', 'role': 'Executive Officer', 'cik': '0002050232'}, {'name': 'Ron Love', 'role': 'Executive Officer', 'cik': '0002050232'}, {'name': 'Alan James Benson Lee', 'role': 'Executive Officer', 'cik': '0002050232'}, {'name': 'Anthony Polini', 'role': 'Executive Officer', 'cik': '0002050232'}, {'name': 'Chris Bloomer', 'role': 'Director', 'cik': '0002050232'}, {'name': 'Danridge Giltz', 'role': 'Director', 'cik': '0002050232'}, {'name': 'Ron Kopas', 'role': 'Director', 'cik': '0002050232'}, {'name': 'William Pike', 'role': 'Executive Officer', 'cik': '0002050232'}]",Executive Officer,2847382
"Marrello Capital Partners, LP",0002059005,9179308245,"[{'name': 'Dylan Murray', 'role': 'Executive Officer', 'cik': '0002059005'}, {'name': 'n/a Marrello Capital Management', 'role': 'Promoter', 'cik': '0002059005'}]",Promoter,533006
OneIM Real Estate Income Fund I LP,0002063175,646.222.9570,"[{'name': 'N/A One Investment Management Ltd.', 'role': 'Promoter', 'cik': '0002063175'}, {'name': 'N/A OneIM GP LLC', 'role': 'Executive Officer', 'cik': '0002063175'}, {'name': 'Rajeev Misra', 'role': 'Executive Officer', 'cik': '0002063175'}, {'name': 'Ioannis Pipilis', 'role': 'Executive Officer', 'cik': '0002063175'}, {'name': 'Munish Varma', 'role': 'Executive Officer', 'cik': '0002063175'}]",Executive Officer,0
OneIM Structured Product Income Fund I LP,0002063176,646.222.9570,"[{'name': 'N/A One Investment Management Ltd.', 'role': 'Promoter', 'cik': '0002063176'}, {'name': 'N/A OneIM GP LLC', 'role': 'Executive Officer', 'cik': '0002063176'}, {'name': 'Rajeev Misra', 'role': 'Executive Officer', 'cik': '0002063176'}, {'name': 'Ioannis Pipilis', 'role': 'Executive Officer', 'cik': '0002063176'}, {'name': 'Munish Varma', 'role': 'Executive Officer', 'cik': '0002063176'}]",Executive Officer,0
OneIM Corporate Income Fund I LP,0002063179,646.222.9570,"[{'name': 'N/A One Investment Management Ltd.', 'role': 'Promoter', 'cik': '0002063179'}, {'name': 'N/A OneIM GP LLC', 'role': 'Executive Officer', 'cik': '0002063179'}, {'name': 'Rajeev Misra', 'role': 'Executive Officer', 'cik': '0002063179'}, {'name': 'Ioannis Pipilis', 'role': 'Executive Officer', 'cik': '0002063179'}, {'name': 'Munish Varma', 'role': 'Executive Officer', 'cik': '0002063179'}]",Executive Officer,0
"Riverstone Iris Continuation Fund, L.P.",0002080765,(212) 993-0076,"[{'name': 'Robert Gray', 'role': 'Director', 'cik': '0002080765'}, {'name': 'Pierre Lapeyre, Jr.', 'role': 'Director', 'cik': '0002080765'}, {'name': 'David Leuschen', 'role': 'Director', 'cik': '0002080765'}, {'name': 'N/A Riverstone Holdings LLC', 'role': 'Promoter', 'cik': '0002080765'}, {'name': 'N/A Riverstone Iris FCV GP, LLC', 'role': 'Promoter', 'cik': '0002080765'}]",Promoter,0
"Riverstone Iris Continuation Fund Feeder, L.P.",0002080881,(212) 993-0076,"[{'name': 'Robert Gray', 'role': 'Director', 'cik': '0002080881'}, {'name': 'Pierre Lapeyre, Jr.', 'role': 'Director', 'cik': '0002080881'}, {'name': 'David Leuschen', 'role': 'Director', 'cik': '0002080881'}, {'name': 'N/A Riverstone Holdings LLC', 'role': 'Promoter', 'cik': '0002080881'}, {'name': 'N/A Riverstone Iris FCV GP Non-U.S., LLC', 'role': 'Promoter', 'cik': '0002080881'}]",Promoter,0
"Series Domain, a series of TE Holdings I LLC",0002081993,646-532-2440,"[{'name': 'SAM KLATT', 'role': 'Executive Officer', 'cik': '0002081993'}, {'name': 'MICHAEL LEFFELL', 'role': 'Executive Officer', 'cik': '0002081993'}, {'name': 'JASON GREGORY', 'role': 'Executive Officer', 'cik': '0002081993'}]",Executive Officer,22170000
Lodges of Prospect WD LLC,0002083097,502-654-8600,"[{'name': 'Scott Jacbos', 'role': 'Executive Officer', 'cik': '0002083097'}]",Executive Officer,2224000
Tallvine Canal Co-Invest I LP,0002083099,(305) 422-4050,"[{'name': 'n/a Tallvine MMIF Holdings GP I LLC', 'role': 'Executive Officer', 'cik': '0002083099'}, {'name': 'n/a Tallvine Middle Market Infra Fund I GP LLC', 'role': 'Executive Officer', 'cik': '0002083099'}, {'name': 'n/a Tallvine Partners Management LP', 'role': 'Executive Officer', 'cik': '0002083099'}, {'name': 'n/a Tallvine Partners Holdings LLC', 'role': 'Executive Officer', 'cik': '0002083099'}, {'name': 'Thomas Lefebvre Billecart', 'role': 'Executive Officer', 'cik': '0002083099'}]",Executive Officer,0
"BlackRock Orion Private Opportunities, L.P.",0002084044,212-810-5300,"[{'name': 'N/A BLACKROCK ORION OPPORTUNITIES GP, LLC', 'role': 'Promoter', 'cik': '0002084044'}]",Promoter,131500000
"Gigascale Capital Fund I, L.P.",0002084327,(617) 570-1000,"[{'name': 'General Partner Gigascale Capital Fund I GP, LLC', 'role': 'Promoter', 'cik': '0002084327'}, {'name': 'Investment Advisor Gigascale Capital Advisors, L.P.', 'role': 'Promoter', 'cik': '0002084327'}]",Promoter,0
Gaingels Formic Technologies 2025 LLC,0002084723,773 837 1889,"[{'name': 'Paul Grossinger', 'role': 'Executive Officer', 'cik': '0002084723'}]",Executive Officer,469670
"KA-0610 Fund I, a series of AngelList Funds 2025, LP",0002085050,206.801.6359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002085050'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002085050'}]",Director,418000
Tallvine Canal Co-Invest I LP,0002083099,(305) 422-4050,"[{'name': 'n/a Tallvine MMIF Holdings GP I LLC', 'role': 'Executive Officer', 'cik': '0002083099'}, {'name': 'n/a Tallvine Middle Market Infra Fund I GP LLC', 'role': 'Executive Officer', 'cik': '0002083099'}, {'name': 'n/a Tallvine Partners Management LP', 'role': 'Executive Officer', 'cik': '0002083099'}, {'name': 'n/a Tallvine Partners Holdings LLC', 'role': 'Executive Officer', 'cik': '0002083099'}, {'name': 'Thomas Lefebvre Billecart', 'role': 'Executive Officer', 'cik': '0002083099'}]",Executive Officer,0
NSDQ-ETF-COIN LP,0002085402,8325832677,"[{'name': 'Kalojan Iliev', 'role': 'Executive Officer', 'cik': '0002085402'}]",Executive Officer,0
"CommonPoint, Inc.",0002085515,203-360-2350,"[{'name': 'KEITH MOORE', 'role': 'Executive Officer', 'cik': '0002085515'}]",Executive Officer,2500000
"BECP Feeder, L.P.",0002085685,516-363-2004,"[{'name': 'n/a BECP GP, L.P.', 'role': 'Executive Officer', 'cik': '0002085685'}, {'name': 'n/a Breakwall Investment Advisor LLC', 'role': 'Promoter', 'cik': '0002085685'}, {'name': 'Christopher Abbate', 'role': 'Executive Officer', 'cik': '0002085685'}, {'name': 'Jamie Brodsky', 'role': 'Executive Officer', 'cik': '0002085685'}, {'name': 'Daniel Flannery', 'role': 'Executive Officer', 'cik': '0002085685'}, {'name': 'Amy Springs', 'role': 'Executive Officer', 'cik': '0002085685'}]",Executive Officer,0
PE HH Pre-IPO Offshore Feeder Fund V a sub-fund of PERE Portfolios S.C.A. SICAV-RAIF,0002086261,212-994-7400,"[{'name': '- iCapital Global Alternatives LLC', 'role': 'Promoter', 'cik': '0002086261'}, {'name': 'Tom Slocock', 'role': 'Executive Officer', 'cik': '0002086261'}]",Executive Officer,71500000
"Jake-RO-0805 Fund I, a series of AngelList Funds 2025, LP",0002086622,206.801.6359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002086622'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002086622'}]",Director,68753
"AUA Midvale Townhomes, LLC",0002086665,801-232-8792,"[{'name': 'Jonathan Gardner', 'role': 'Executive Officer', 'cik': '0002086665'}, {'name': 'Stephen Alfandre', 'role': 'Director', 'cik': '0002086665'}]",Director,1100000
Pinto Inc.,0002088134,661-600-2388,"[{'name': 'Gustavo Castillo', 'role': 'Executive Officer', 'cik': '0002088134'}, {'name': 'Kyle Gillespie', 'role': 'Executive Officer', 'cik': '0002088134'}]",Executive Officer,20000
"AVSF - Ursa Major 2025, LLC",0002088419,603-518-8112,"[{'name': 'Michael Collins', 'role': 'Executive Officer', 'cik': '0002088419'}]",Executive Officer,468925
Affix Advisory LLC,0002088627,2027519957,"[{'name': 'Elisei Boguslavskii', 'role': 'Executive Officer', 'cik': '0002088627'}]",Executive Officer,80000
"AVSF - ConductorOne 2025, LLC",0002088653,603-518-8112,"[{'name': 'Michael Collins', 'role': 'Executive Officer', 'cik': '0002088653'}]",Executive Officer,655000
BEACON GD INVESTMENT LLC,0002088748,704-926-1410,"[{'name': 'n/a Beacon GP Partners LLC', 'role': 'Director', 'cik': '0002088748'}, {'name': 'n/a Beacon GP III LLC', 'role': 'Director', 'cik': '0002088748'}, {'name': 'Peter Kidwell', 'role': 'Executive Officer', 'cik': '0002088748'}, {'name': 'Walker Gorham', 'role': 'Executive Officer', 'cik': '0002088748'}, {'name': 'Timothy Robertson', 'role': 'Executive Officer', 'cik': '0002088748'}]",Executive Officer,7500000
"Ultraspice Opportunity - PLA, LP",0002088751,203-450-9909,"[{'name': 'Nicholas Huber', 'role': 'Executive Officer', 'cik': '0002088751'}, {'name': '- Spice Ventures I GP, LLC', 'role': 'Executive Officer', 'cik': '0002088751'}]",Executive Officer,31020000
"ANOMALY-SM-0910 Fund I, a series of AngelList Funds 2025, LP",0002088985,2068016359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002088985'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002088985'}]",Director,157000
HIG REAL ESTATE IV LLC,0002089284,2127028836,"[{'name': 'Jason Harris', 'role': 'Executive Officer', 'cik': '0002089284'}]",Executive Officer,320000
Etiq Inc.,0002089505,(646) 856-9017,"[{'name': 'Guneet Kaur', 'role': 'Executive Officer', 'cik': '0002089505'}, {'name': 'Kartik Shah', 'role': 'Executive Officer', 'cik': '0002089505'}]",Executive Officer,750000
Oppenheim Unchained LP,0002089551,312-899-1663,"[{'name': '-- Oppenheim Investment Group LLC - Series 1', 'role': 'Director', 'cik': '0002089551'}, {'name': 'Brett Leve', 'role': 'Executive Officer', 'cik': '0002089551'}]",Executive Officer,10515000
"QU-0912 Fund II, a series of Roll Up Vehicles, LP",0002089694,206.801.6359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002089694'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002089694'}]",Director,1198500
HMBP-BCP III Investment LLC,0002089720,704-926-1410,"[{'name': 'n/a HMBP-BCP III Partners LLC', 'role': 'Director', 'cik': '0002089720'}, {'name': 'n/a Beacon GP III LLC', 'role': 'Director', 'cik': '0002089720'}, {'name': 'Peter Kidwell', 'role': 'Executive Officer', 'cik': '0002089720'}, {'name': 'Walker Gorham', 'role': 'Executive Officer', 'cik': '0002089720'}, {'name': 'Timothy Robertson', 'role': 'Executive Officer', 'cik': '0002089720'}]",Executive Officer,6810000
HMBP-BCP III LLC,0002089722,704-926-1410,"[{'name': 'n/a HMBP-BCP III Partners LLC', 'role': 'Director', 'cik': '0002089722'}, {'name': 'n/a Beacon GP III LLC', 'role': 'Director', 'cik': '0002089722'}, {'name': 'Peter Kidwell', 'role': 'Executive Officer', 'cik': '0002089722'}, {'name': 'Walker Gorham', 'role': 'Executive Officer', 'cik': '0002089722'}, {'name': 'Timothy Robertson', 'role': 'Executive Officer', 'cik': '0002089722'}]",Executive Officer,4590000
"AP-0923 Fund VII, a series of Capital Factory, LP",0002089917,206.801.6359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002089917'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002089917'}]",Director,7022000
"KA-0829 Fund II, a series of Roll Up Vehicles, LP",0002089952,206.801.6359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002089952'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002089952'}]",Director,75500
